role,key,label,mode,route,webPath,file,fileExists,mutating,webBridgeUi
"STAFF","staff-payments","Pembayaran (SPP)","hybrid","/staff/payments","/staff/payments","mobile-app/app/(app)/staff/payments.tsx","true","true","false"
"STAFF","staff-students","Data Siswa","hybrid","/staff/students","/staff/students","mobile-app/app/(app)/staff/students.tsx","true","false","false"
"STAFF","staff-admin","Administrasi","web-bridge","","/staff/admin","","false","false","false"
"PARENT","parent-dashboard","Dashboard","web-bridge","","/parent","","false","false","false"
"PARENT","child-progress","Data Anak","hybrid","/parent/children","/parent/children","mobile-app/app/(app)/parent/children.tsx","true","false","false"
"PARENT","parent-finance","Keuangan","hybrid","/parent/finance","/parent/finance","mobile-app/app/(app)/parent/finance.tsx","true","false","true"
"PARENT","child-attendance","Absensi Anak","hybrid","/parent/attendance","/parent/attendance","mobile-app/app/(app)/parent/attendance.tsx","true","false","false"
"CALON_SISWA","candidate-application","Status Pendaftaran","web-bridge","","/register","","false","false","false"
"CALON_SISWA","candidate-information","Informasi PPDB","web-bridge","","/","","false","false","false"
"UMUM","public-information","Informasi Sekolah","web-bridge","","/","","false","false","false"
"UMUM","public-registration","Pendaftaran Umum","web-bridge","","/register","","false","false","false"
"EXTRACURRICULAR_TUTOR","tutor-dashboard","Dashboard","web-bridge","","/tutor","","false","false","false"
"EXTRACURRICULAR_TUTOR","tutor-members","Anggota & Nilai","web-bridge","","/tutor/members","","false","false","false"
"EXTRACURRICULAR_TUTOR","tutor-profile","Profil","hybrid","/profile","/tutor/profile","mobile-app/app/(app)/profile.tsx","true","false","false"
